date,open,high,low,close,volume,close_weight,middle,ema_25,wma_50,wma_100,wma_200,macd,macds,macdh,mfi
1597637.7,11818.77,11830.71,11813.88,11822.42,345.035269,11822.357499999998,11821.445,11842.461843196606,11846.405364705888,11839.880954455452,11847.567082587067,-4.401467017320101,-2.7993180176180936,-1.6021489997020075,41.145436412766315
1597638.6,11822.43,11835.53,11805.13,11811.74,352.984,11816.035,11818.7075,11840.098624489176,11845.01589803922,11839.241085148522,11847.150781592041,-6.185928327824513,-3.4766400796593775,-2.7092882481651355,40.8180821065616
1597639.5,11811.73,11828.99,11802.35,11809.38,362.685663,11812.525,11813.1125,11837.735653374624,11843.585850980397,11838.570863366343,11846.715339303486,-7.701777749696703,-4.321667613666842,-3.3801101360298604,42.283397595216556
1597640.4,11809.39,11836.9,11790.0,11829.57,492.233201,11821.51,11816.465,11837.107526191961,11842.995113725496,11838.324128712879,11846.484753731345,-7.191041225525623,-4.895542336038599,-2.2954988894870247,45.14732546680125
1597641.3,11829.56,11829.56,11818.6,11827.95,358.072387,11826.015,11826.4175,11836.403101100272,11842.37544313726,11838.060942574266,11846.241198009953,-6.838173108577394,-5.284068490546358,-1.5541046180310358,46.66189920168939
1597642.2,11827.94,11835.31,11811.71,11817.95,412.956571,11820.73,11823.2275,11834.983631784866,11841.39247058824,11837.608912871296,11845.900610945275,-7.281502383233601,-5.683555269083806,-1.597947114149795,44.940871823870104
1597643.1,11817.95,11817.95,11791.02,11800.01,425.673947,11802.247500000001,11806.732500000002,11832.293352416798,11839.725615686279,11836.817576237632,11845.38460348259,-8.976971161006077,-6.34223844746826,-2.634732713537817,43.866660710919675
1597644.0,11800.0,11835.89,11785.23,11834.5,517.234079,11822.529999999999,11813.904999999999,11832.463094538583,11839.43661176471,11836.727697029712,11845.216191044778,-7.451689193037964,-6.564128596582201,-0.8875605964557636,41.89771441559657
1597644.9,11834.5,11846.74,11823.65,11835.3,418.226246,11835.2475,11835.0475,11832.681318035615,11839.18426666667,11836.667726732681,11845.055725870649,-6.107930509380822,-6.472888979141925,0.36495846976110347,42.88066565039375
1597645.8,11835.3,11840.79,11817.3,11817.55,335.537943,11823.2975,11827.735,11831.517370494414,11838.234227450985,11836.270895049513,11844.71977910448,-6.401476492164875,-6.458606481746515,0.057129989581640395,42.732930328829724
1597646.7,11817.55,11819.54,11795.16,11806.37,364.29079,11806.86,11809.654999999999,11829.582957379458,11836.847725490199,11835.667067326742,11844.274675621891,-7.450363213807577,-6.656957828158728,-0.7934053856488497,37.51733988726579
1597647.6,11806.37,11811.98,11792.32,11810.67,380.317461,11806.41,11805.335000000001,11828.128114504116,11835.636682352944,11835.166936633672,11843.8752079602,-7.844216192715976,-6.894409501070177,-0.949806691645799,31.781338482903276
1597648.5,11810.67,11839.81,11808.42,11833.51,392.09686,11828.8125,11823.102499999999,11828.542105696108,11835.335137254904,11835.138554455454,11843.704855223881,-6.241403384819932,-6.763808277820128,0.5224048930001954,39.25199371591647
1597649.4,11833.5,11843.01,11813.57,11830.71,586.651361,11829.5,11830.1975,11828.708866796407,11834.92260392157,11835.06703960397,11843.508413930349,-5.137873083651357,-6.438621238986373,1.3007481553350164,48.15284746505471
1597650.3,11830.69,11836.69,11804.54,11807.21,561.449805,11813.9125,11819.782500000001,11827.055107812068,11833.597968627453,11834.539530693079,11843.079773631842,-6.0893764307857055,-6.36877227734624,0.2793958465605346,46.40637543415036
1597651.2,11806.94,11881.84,11806.91,11879.6,726.8491,11861.9875,11843.8225,11831.097022595755,11835.128352941178,11835.46143960397,11843.375575621892,-0.990760803260855,-5.293169982529163,4.302409179268308,55.15791657372677
1597652.1,11879.7,11885.0,11856.27,11859.69,577.837013,11865.1625,11870.165,11833.296482396081,11835.83863529412,11835.99144950496,11843.47439353234,1.4269096832995274,-3.9491540493634245,5.376063732662952,62.17809702749785
1597653.0,11859.69,11865.76,11840.72,11847.65,487.551783,11850.445,11853.455,11834.400599134844,11836.044298039218,11836.287221782186,11843.455304477613,2.344379042477158,-2.6904474309953077,5.0348264734724655,54.695996869346516
1597653.9,11847.66,11880.54,11837.96,11868.77,571.488549,11864.01,11858.732500000002,11837.044399201395,11837.05874509804,11837.002970297039,11843.648192039802,4.721263821975299,-1.2081051804011862,5.929369002376485,56.1377004128498
1597654.8,11868.97,11888.88,11853.55,11888.87,492.689988,11880.0425,11875.067500000001,11841.03098387821,11838.824039215688,11838.114782178227,11844.041833830846,8.133110713924907,0.6601379984640328,7.472972715460874,62.69466157985551
1597655.7,11888.88,11890.0,11857.38,11870.8,585.614391,11872.244999999999,11876.764999999998,11843.320908195272,11839.828941176473,11838.859495049513,11844.253734328358,9.272043626830055,2.3825191241372377,6.889524502692817,61.23557222416126
1597656.6,11870.79,11873.78,11851.61,11865.3,541.142726,11863.9975,11865.37,11845.011607564866,11840.596250980394,11839.493550495057,11844.410184577115,9.61995922951428,3.830007145212646,5.789952084301634,53.66020984818424
1597657.5,11865.3,11869.14,11850.0,11856.31,611.293174,11857.939999999999,11860.1875,11845.88071467526,11841.011945098042,11839.948235643573,11844.478708457713,9.06576251675142,4.877158219520401,4.188604297231019,46.42589530559905
1597658.4,11856.31,11880.11,11855.47,11873.91,408.8599,11870.85,11866.45,11848.036813546394,11842.129513725493,11840.748944554463,11844.724098507464,9.932237884053393,5.888174152426999,4.044063731626394,51.56954509879008
1597659.3,11873.9,11899.0,11871.43,11888.91,632.449756,11887.0625,11883.31,11851.180904812056,11843.836901960787,11841.845124752483,11845.120659701493,11.69449365177934,7.049438052297467,4.645055599481872,58.1101683757763
1597660.2,11888.9,11896.25,11859.55,11868.81,581.394945,11873.355,11878.3775,11852.536989057282,11844.7292627451,11842.540281188127,11845.318703482588,11.338488983737989,7.907248238585572,3.431240745152417,56.58504844391634
1597661.1,11868.8,11872.23,11850.0,11860.84,499.043404,11860.9775,11862.967499999999,11853.175682206722,11845.284823529413,11843.077520792087,11845.437102985077,10.294570922067578,8.384712775281972,1.9098581467856057,50.835595892367124
1597662.0,11860.83,11878.8,11856.64,11873.56,426.882844,11870.64,11867.4575,11854.743706652358,11846.336023529413,11843.869526732682,11845.68227910448,10.374070207970362,8.78258426181965,1.591485946150712,49.82832480823549
1597662.9,11873.56,11899.4,11868.84,11881.49,686.15397,11882.805,11880.822499999998,11856.801113832946,11847.711090196079,11844.811835643573,11846.005868656719,10.950725543560111,9.216212518167742,1.7345130253923688,57.78845049320338
1597663.8,11881.5,11900.0,11864.71,11897.63,505.541519,11889.9925,11885.96,11859.941797384257,11849.739223529412,11846.061764356446,11846.490177611942,12.565247808839558,9.886019576302106,2.6792282325374526,56.5694769520877
